# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'LLC-load-misses'
# Event count (approx.): 3966776885
#
# Overhead  Command          Shared Object        Symbol                                                                                                                                                                                                
# ........  ...............  ...................  ......................................................................................................................................................................................................
#
    93.30%  DPU_POLL_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.68%  java             [kernel.kallsyms]    [k] copy_user_enhanced_fast_string
     0.48%  C2 CompilerThre  libjvm.so            [.] IndexSetIterator::advance_and_next
     0.41%  DPU_WORK_0200    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.41%  DPU_WORK_0300    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.39%  DPU_WORK_0100    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.38%  DPU_WORK_0400    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.37%  DPU_WORK_0000    libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.33%  java             libc-2.28.so         [.] __memcpy_avx_unaligned_erms
     0.19%  DPU_MRAM_0101    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.19%  DPU_MRAM_0102    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.19%  DPU_MRAM_0100    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.16%  java             libdpuhw.so.2023.1   [.] xeon_sp_read_from_cis
     0.12%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::gather_lrg_masks
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Split
     0.11%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::remove_node
     0.10%  C2 CompilerThre  libjvm.so            [.] PhaseLive::compute
     0.09%  DPU_MRAM_0103    libdpuhw.so.2023.1   [.] threads_write_to_rank
     0.08%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::effective_degree
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::SquareUp
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseIFG::re_insert
     0.06%  java             libjvm.so            [.] AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<26501190ul, G1BarrierSet>, (AccessInternal::BarrierType)8, 26501190ul>::oop_access_barrier<HeapWordImpl*>
     0.06%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::interfere_with_live
     0.05%  java             perf-10123.map       [.] java.util.ArrayList application.bst.BSTTester.readIntergerArrayList(java.lang.String)
     0.04%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::build_ifg_physical
     0.04%  java             perf-10123.map       [.] StubRoutines (2)
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Select
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::add_input_to_liveout
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::post_allocate_copy_removal
     0.03%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::cache_lrg_info
     0.03%  C1 CompilerThre  libjvm.so            [.] BitMap::set_intersection_with_result
     0.03%  C2 CompilerThre  libjvm.so            [.] IndexSet::IndexSet
     0.03%  DPU_POLL_0000    [kernel.kallsyms]    [k] change_protection
     0.03%  java             [kernel.kallsyms]    [k] get_page_from_freelist
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::alloc_block_containing
     0.02%  java             [kernel.kallsyms]    [k] __free_pages_ok
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::merge_multidefs
     0.02%  C2 CompilerThre  libjvm.so            [.] IndexSet::initialize
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseLive::add_liveout
     0.02%  C2 CompilerThre  libjvm.so            [.] PhaseConservativeCoalesce::update_ifg
     0.02%  C2 CompilerThre  libjvm.so            [.] RegMask::clear_to_sets
     0.02%  DPU_MRAM_0102    [kernel.kallsyms]    [k] __free_pages_ok
     0.02%  C2 CompilerThre  libjvm.so            [.] Compile::identify_useful_nodes
     0.02%  java             [kernel.kallsyms]    [k] copy_page
     0.01%  java             perf-10123.map       [.] Interpreter
     0.01%  C1 CompilerThre  libjvm.so            [.] NullCheckEliminator::iterate_one
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Register_Allocate
     0.01%  C1 CompilerThre  libjvm.so            [.] ValueStack::values_do
     0.01%  C1 CompilerThre  libjvm.so            [.] LIR_OpVisitState::visit
     0.01%  java             [kernel.kallsyms]    [k] find_get_entry
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_late
     0.01%  C2 CompilerThre  libjvm.so            [.] Node::replace_by
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseChaitin::Simplify
     0.01%  DPU_POLL_0000    [kernel.kallsyms]    [k] _vm_normal_page
     0.01%  C2 CompilerThre  libjvm.so            [.] JVMState::debug_start
     0.01%  C1 CompilerThre  libjvm.so            [.] BitMap::is_same
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseIdealLoop::build_loop_early
     0.01%  C2 CompilerThre  libjvm.so            [.] PhaseOutput::BuildOopMaps
     0.01%  C1 CompilerThre  libjvm.so            [.] LinearScan::eliminate_spill_moves
